Afghanistan;Asia;652864;35530;20270;
Albania;Europe;28748;2930;11541;
Algeria;Africa;2381741;41318;164779;
Andorra;Europe;468;77;2812;
Angola;Africa;1246700;29784;117955;
Anguilla;America;91;15;320;
Antigua and Barbuda;America;442;102;1356;
Argentina;America;2780400;44271;632343;
Armenia;Asia;29743;2930;10529;
Aruba;America;180;105;2702;
Australia;Oceania;7692060;24451;1230859;
Austria;Europe;83871;8736;376967;
Azerbaijan;Asia;86600;9828;53049;
Bahamas;America;13940;395;8854;
Bahrain;Asia;771;1493;31126;
Bangladesh;Asia;147570;164670;194466;
Barbados;America;431;286;4385;
Belarus;Europe;207600;9468;54609;
Belgium;Europe;30528;11429;455107;
Belize;America;22966;375;1721;
Benin;Africa;114763;11176;8476;
Bermuda;America;53;61;5853;
Bhutan;Asia;38394;808;2074;
Bolivia;America;1098581;11052;32998;
Bosnia and Herzegovina;Europe;51209;3507;16251;
Botswana;Africa;582000;2292;14391;
Brazil;America;8515767;209288;1772591;
British Virgin Islands;America;151;31;908;
Brunei Darussalam;Asia;5765;429;12930;
Bulgaria;Europe;111002;7085;48953;
Burkina Faso;Africa;272967;19193;11065;
Burundi;Africa;27830;10864;2735;
Cabo Verde;Africa;4033;546;1603;
Cambodia;Asia;181035;16005;18050;
Cameroon;Africa;475650;24054;28416;
Canada;America;9984670;36624;1552808;
Cayman Islands;America;264;62;3726;
Central African Republic;Africa;622984;4659;1633;
Chad;Africa;1284000;14900;10009;
Chile;America;756102;18055;240796;
Hong Kong;Asia;1106;7365;309236;
Macao;Asia;30;623;46178;
China;Asia;9600000;1409517;11158457;
Colombia;America;1141748;49066;292080;
Comoros;Africa;2235;814;1079;
Congo;Africa;342000;5261;8493;
Cook Islands;Oceania;236;17;294;
Costa Rica;America;51100;4906;52958;
Croatia;Europe;56594;4189;48676;
Cuba;Oceania;109884;11485;87206;
Cyprus;Asia;9251;1180;19561;
Czechia;Europe;78868;10618;185156;
North Korea;Asia;120538;25491;16283;
Democratic Republic of the Congo;Africa;2344858;81340;37569;
Denmark;Europe;42921;5734;301308;
Djibouti;Africa;23200;957;1737;
Dominica;America;750;74;512;
Dominican Republic;America;48671;10767;67103;
Ecuador;America;257217;16625;100177;
Egypt;Africa;1002000;97553;315917;
El Salvador;America;21041;6378;25850;
Equatorial Guinea;Africa;28052;1268;13812;
Eritrea;Africa;117600;5069;4783;
Estonia;Europe;45227;1310;22460;
Ethiopia;Africa;1104300;104957;59917;
Fiji;Oceania;18272;906;4391;
Finland;Europe;338440;5523;231960;
France;Europe;551500;64980;2418946;
French Oceania;Oceania;4000;283;5135;
Gabon;Africa;267668;2025;13735;
Gambia;Africa;11295;2101;942;
Georgia;Asia;69700;3912;13965;
Germany;Europe;357376;82114;3363600;
Ghana;Africa;238537;28834;37156;
Greece;Europe;131957;11160;194860;
